product_id,product_name,description,category,brand,price,discount,stock_quantity,sku,barcode,weight_kg,dimensions_cm,color,material,origin_country,is_active,created_at,updated_at
1,Who Dog,Southern west hit take where perform idea your shake environment.,Electronics,Huber and Sons,1618.04,18.91,390,SKU00001,3576121108057,10.51,97x54x34,Black,Leather,Bermuda,False,2024-04-29 03:00:34,2023-09-13 06:50:13
2,Degree Program,Hospital whose past we line recent serve better trade should claim pretty side.,Furniture,Jones Inc,2184.77,24.19,603,SKU00002,7864867401768,21.1,82x34x41,Green,Leather,American Samoa,False,2022-08-28 22:09:57,2022-02-20 03:05:20
3,Chance Loss,Pretty protect star field everything very management add light day.,Grocery,Haynes-Coleman,3181.54,22.9,478,SKU00003,3035729547656,44.04,96x37x49,Green,Metal,Ethiopia,True,2024-01-22 06:49:39,2024-12-07 22:35:35
4,Share Sell,Painting school would put agree international use.,Furniture,Flynn PLC,4510.41,9.71,23,SKU00004,5232215923576,18.68,84x94x41,Yellow,Metal,United Arab Emirates,True,2024-02-02 13:10:45,2021-11-05 16:28:21
5,Section Case,Hair southern office data suffer exactly sure class far city early.,Electronics,Romero-Garcia,2350.5,15.53,922,SKU00005,7270712218212,9.19,54x94x82,Green,Leather,United States Minor Outlying Islands,True,2023-04-19 15:06:48,2020-09-13 01:53:00
6,Would Go,Range bring idea sign including into charge whole lawyer daughter store study.,Electronics,Burnett-Hoffman,2508.57,26.76,811,SKU00006,1680356636475,47.68,61x52x6,Blue,Leather,Holy See (Vatican City State),True,2021-07-24 08:30:11,2020-03-22 14:14:43
7,Opportunity Sit,Green son hear expert decision lawyer out although behind race.,Electronics,King Ltd,2502.73,3.95,89,SKU00007,5585905432200,35.98,93x90x75,Black,Leather,Panama,False,2024-06-08 23:04:59,2023-08-04 17:46:28
8,Success Occur,Store party surface story lot capital woman PM center whether model.,Furniture,"Rice, Haley and Barrera",485.7,0.68,488,SKU00008,6788092133649,35.9,48x99x5,Blue,Leather,Syrian Arab Republic,False,2024-05-13 06:58:08,2021-10-27 20:05:51
9,Class Image,Same pattern professor common Democrat final keep environment front tree point.,Grocery,Hines-Mata,2299.5,15.41,290,SKU00009,5932500717360,3.3,9x16x49,Black,Cotton,Tanzania,False,2020-10-19 19:58:43,2023-02-15 19:59:55
10,Item Thousand,Take artist international sort improve health way central draw performance moment.,Toys,Burke-Johnson,3508.25,19.21,237,SKU00010,2707271412294,14.23,56x75x5,Yellow,Cotton,Guernsey,False,2024-02-10 16:33:08,2024-06-04 05:22:13
11,Window Ready,Whether perform list I spring mother draw spring case TV game other join.,Toys,Reed and Sons,2477.06,11.97,844,SKU00011,1889577417584,21.63,55x96x80,Yellow,Leather,Turkmenistan,False,2024-05-14 12:51:07,2024-07-09 20:08:19
12,Short Science,Outside skin sister what wait prepare third industry over perform daughter organization.,Grocery,Garcia-Johnson,2783.56,9.12,837,SKU00012,2137628800939,45.68,87x26x49,Red,Cotton,Lao People's Democratic Republic,False,2021-08-14 21:01:34,2020-04-17 19:49:25
13,Suggest Within,Next process center wife sure during certain just employee part central culture contain.,Grocery,"Holmes, Mcconnell and Mendoza",1620.78,20.45,339,SKU00013,6451683279117,11.63,8x84x48,Blue,Metal,Liberia,False,2023-01-26 14:23:44,2022-03-13 12:52:25
14,Until Interest,Like us throw care learn seven trade small brother truth series general.,Electronics,"Arnold, Downs and Sanders",3901.13,5.32,618,SKU00014,5348200852216,1.7,88x27x6,Yellow,Leather,Sao Tome and Principe,False,2022-12-17 22:25:24,2020-04-19 05:18:32
15,Public Finally,Into together goal need same appear.,Toys,"Hoffman, Murphy and Chandler",2214.37,8.68,450,SKU00015,4018237366086,15.64,73x9x25,Black,Metal,Kyrgyz Republic,True,2024-04-03 20:24:05,2025-04-13 12:52:35
16,Board Else,Tax environmental from medical start fact visit oil yes later moment.,Toys,"Turner, Thompson and Rodriguez",671.93,24.44,289,SKU00016,8916546976506,36.71,44x43x55,Red,Leather,Slovakia (Slovak Republic),False,2023-02-08 13:04:56,2024-03-04 14:22:51
17,Staff Trouble,Hear religious trade hotel full morning finish hand scientist.,Clothing,"Davidson, Rivera and Larson",3824.53,2.03,783,SKU00017,7434181460699,32.58,42x33x63,Yellow,Wood,Rwanda,True,2024-03-17 18:19:08,2021-08-04 06:10:36
18,Around Field,Soldier majority treatment American fill design along must cup every number.,Grocery,Weber Ltd,4392.74,12.72,43,SKU00018,0989518687906,39.74,16x52x5,Green,Wood,Reunion,True,2022-05-02 07:20:04,2024-06-27 06:45:53
